Topic	Type	No	Sentences_Kor	Sentences_Phon	Sentences_Viet	FileAudio
T9	Dlg	1.4	지하철로 가요. 빠르고 편해요.	chi-ha-trol-rô ga-yô. ppa-rư-gô phyon-nê-yô.	Đi tàu điện ngầm. Nhanh và tiện.	https://luandai123.github.io/Korean_Beginner/T9Dlg1.4.mp3
T10	Must	1	오늘 날씨가 어때요? — 맑아요.	ô-nưl nal-sxi-ga o-ttê-yô?  mak-ra-yô.	Hôm nay thời tiết thế nào? — Quang đãng.	https://luandai123.github.io/Korean_Beginner/T10Must1.mp3
T10	Must	2	저는 가을을 좋아해요.	cho-nưn ga-ư-rưl chô-ha-hê-yô.	Tôi thích mùa thu.	https://luandai123.github.io/Korean_Beginner/T10Must2.mp3
T10	Must	3	베트남은 일 년 내내 더워요.	pê-thư-na-mưn il nyon nê-nê to-uo-yô.	Việt Nam nóng quanh năm.	https://luandai123.github.io/Korean_Beginner/T10Must3.mp3
T10	Must	4	한국 겨울이 정말 추워요.	han-guk kkyo-u-ri chong-mal tru-uo-yô.	Mùa đông Hàn Quốc rất lạnh.	https://luandai123.github.io/Korean_Beginner/T10Must4.mp3
T10	Must	5	봄에는 따뜻하고 꽃이 피어요.	pô-mê-nưn tta-ttưt-ha-gô kkô-tri phi-o-yô.	Mùa xuân ấm áp và hoa nở.	https://luandai123.github.io/Korean_Beginner/T10Must5.mp3
T10	Story	1	한국은 사계절이 있어요. 봄에는 따뜻하고 꽃이 피어요. 여름에는 더워요. 가을에는 맑고 시원해요. 겨울에는 추워요. 저는 가을을 제일 좋아해요. 베트남에는 사계절이 없어서 아쉬워요.	han-gu-gưn sa-gyê-cho-ri i-sso-yô. pô-mê-nưn tta-ttưt-ha-gô kkô-tri phi-o-yô. yo-rư-mê-nưn to-uo-yô. ga-ư-rê-nưn mak-kkô xi-uon-nê-yô. gyo-u-rê-nưn tru-uo-yô. cho-nưn ga-ư-rưl chê-il chô-ha-hê-yô. pê-thư-na-mê-nưn sa-gyê-cho-ri op-sso-so a-suy-uo-yô.	Hàn Quốc có 4 mùa. Xuân ấm và hoa nở. Hè nóng. Thu quang đãng mát mẻ. Đông lạnh. Tôi thích mùa thu nhất. Việt Nam không có 4 mùa nên hơi tiếc.	https://luandai123.github.io/Korean_Beginner/T10Story1.mp3
T10	Dlg	1.1	오늘 날씨가 어때요?	ô-nưl nal-sxi-ga o-ttê-yô?	Hôm nay thời tiết thế nào?	https://luandai123.github.io/Korean_Beginner/T10Dlg1.1.mp3
T10	Dlg	1.2	맑고 시원해요. 한국 가을 날씨가 정말 좋아요.	mak-kkô xi-uon-nê-yô. han-guk kka-ưl nal-sxi-ga chong-mal chô-ha-yô.	Quang đãng và mát mẻ. Thời tiết mùa thu Hàn Quốc thật tuyệt.	https://luandai123.github.io/Korean_Beginner/T10Dlg1.2.mp3
T10	Dlg	1.3	베트남 날씨는 어때요?	pê-thư-nam nal-sxi-nưn o-ttê-yô?	Thời tiết Việt Nam thế nào?	https://luandai123.github.io/Korean_Beginner/T10Dlg1.3.mp3
T10	Dlg	1.4	일 년 내내 더워요. 그래서 가을이 없어요.	il nyon nê-nê to-uo-yô. gư-rê-so ga-ư-ri op-sso-yô.	Nóng quanh năm. Vì vậy không có mùa thu.	https://luandai123.github.io/Korean_Beginner/T10Dlg1.4.mp3
T11	Must	1	어제 뭐 했어요?	o-chê muo hê-sso-yô?	Hôm qua bạn làm gì?	https://luandai123.github.io/Korean_Beginner/T11Must1.mp3
T11	Must	2	친구를 만나서 같이 밥을 먹었어요.	trin-gu-rưl man-na-so ga-thi pa-pưl mo-go-sso-yô.	Gặp bạn rồi cùng ăn cơm.	https://luandai123.github.io/Korean_Beginner/T11Must2.mp3
T11	Must	3	지난 주말에 집에서 코딩을 했어요.	chi-nan chu-ma-rê chi-pê-so khô-ti-ưl hê-sso-yô.	Cuối tuần trước tôi ở nhà code.	https://luandai123.github.io/Korean_Beginner/T11Must3.mp3
T11	Must	4	정말 재미있었어요!	chong-mal chê-mi-i-sso-sso-yô!	Thật sự rất vui!	https://luandai123.github.io/Korean_Beginner/T11Must4.mp3
T11	Must	5	한국 드라마를 봤어요. 정말 좋았어요.	han-guk ttư-ra-ma-rưl poa-sso-yô. chong-mal chô-ha-sso-yô.	Tôi đã xem phim Hàn. Thật tuyệt.	https://luandai123.github.io/Korean_Beginner/T11Must5.mp3
T11	Story	1	지난 주말에 친구를 만났어요. 같이 삼겹살을 먹었어요. 삼겹살이 정말 맛있었어요! 밥을 먹고 카페에 가서 커피를 마셨어요. 그리고 한국 드라마를 봤어요. 정말 재미있었어요!	chi-nan chu-ma-rê trin-gu-rưl man-na-sso-yô. ga-thi sam-gyop-ssa-rưl mo-go-sso-yô. sam-gyop-ssa-ri chong-mal ma-xi-sso-sso-yô! pa-pưl mok-kkô kha-phê-ê ga-so kho-phi-rưl ma-syo-sso-yô. gư-ri-gô han-guk ttư-ra-ma-rưl poa-sso-yô. chong-mal chê-mi-i-sso-sso-yô!	Cuối tuần trước gặp bạn. Cùng ăn thịt ba chỉ. Ngon lắm! Ăn xong đến quán cà phê uống cà phê. Rồi xem phim Hàn. Vui lắm!	https://luandai123.github.io/Korean_Beginner/T11Story1.mp3
T11	Dlg	1.1	어제 뭐 했어요?	o-chê muo hê-sso-yô?	Hôm qua bạn làm gì?	https://luandai123.github.io/Korean_Beginner/T11Dlg1.1.mp3
T11	Dlg	1.2	친구를 만나서 같이 삼겹살을 먹었어요.	trin-gu-rưl man-na-so ga-thi sam-gyop-ssa-rưl mo-go-sso-yô.	Gặp bạn rồi cùng ăn thịt ba chỉ.	https://luandai123.github.io/Korean_Beginner/T11Dlg1.2.mp3
T11	Dlg	1.3	재미있었어요?	chê-mi-i-sso-sso-yô?	Vui không?	https://luandai123.github.io/Korean_Beginner/T11Dlg1.3.mp3
T11	Dlg	1.4	네, 정말 재미있었어요! 한국 드라마도 같이 봤어요.	nê, chong-mal chê-mi-i-sso-sso-yô! han-guk ttư-ra-ma-tô ga-thi poa-sso-yô.	Vâng, vui lắm! Còn cùng xem phim Hàn.	https://luandai123.github.io/Korean_Beginner/T11Dlg1.4.mp3
T12	Must	1	한국에 가고 싶어요.	han-gu-gê ga-gô xi-pho-yô.	Tôi muốn đến Hàn Quốc.	https://luandai123.github.io/Korean_Beginner/T12Must1.mp3
T12	Must	2	삼겹살을 먹고 싶어요.	sam-gyop-ssa-rưl mok-kkô xi-pho-yô.	Tôi muốn ăn thịt ba chỉ.	https://luandai123.github.io/Korean_Beginner/T12Must2.mp3
T12	Must	3	한국어를 잘하고 싶어요.	han-gu-go-rưl chal-ha-gô xi-pho-yô.	Tôi muốn giỏi tiếng Hàn.	https://luandai123.github.io/Korean_Beginner/T12Must3.mp3
T12	Must	4	좋은 개발자가 되고 싶어요.	chô-hưn gê-pal-cha-ga tuê-gô xi-pho-yô.	Tôi muốn trở thành dev giỏi.	https://luandai123.github.io/Korean_Beginner/T12Must4.mp3
T12	Must	5	한국 친구를 만나고 싶어요.	han-guk trin-gu-rưl man-na-gô xi-pho-yô.	Tôi muốn gặp bạn Hàn Quốc.	https://luandai123.github.io/Korean_Beginner/T12Must5.mp3
T12	Story	1	저는 한국에 꼭 가고 싶어요. 한국에 가서 삼겹살도 먹고 싶고, 한국 친구도 만나고 싶어요. 그리고 언젠가 한국 회사에서 일하고 싶어요. 그래서 지금 열심히 한국어를 공부하고 있어요!	cho-nưn han-gu-gê kkôk kka-gô xi-pho-yô. han-gu-gê ga-so sam-gyop-ssal-tô mok-kkô xip-kkô, han-guk trin-gu-tô man-na-gô xi-pho-yô. gư-ri-gô on-chên-ga han-guk huê-sa-ê-so il-ha-gô xi-pho-yô. gư-rê-so chi-gưm yol-xim-hi han-gu-go-rưl gông-pu-ha-gô i-sso-yô!	Tôi nhất định muốn đến Hàn Quốc. Đến Hàn muốn ăn thịt ba chỉ, muốn gặp bạn Hàn. Và một ngày nào đó muốn làm ở công ty Hàn. Vì vậy bây giờ đang học tiếng Hàn chăm chỉ!	https://luandai123.github.io/Korean_Beginner/T12Story1.mp3
T12	Dlg	1.1	앞으로 뭐 하고 싶어요?	a-phư-rô muo ha-gô xi-pho-yô?	Bạn muốn làm gì trong tương lai?	https://luandai123.github.io/Korean_Beginner/T12Dlg1.1.mp3
T12	Dlg	1.2	한국에 가고 싶어요. 그리고 한국 회사에서 일하고 싶어요.	han-gu-gê ga-gô xi-pho-yô. gư-ri-gô han-guk huê-sa-ê-so il-ha-gô xi-pho-yô.	Muốn đến Hàn Quốc. Và muốn làm ở công ty Hàn Quốc.	https://luandai123.github.io/Korean_Beginner/T12Dlg1.2.mp3
T12	Dlg	1.3	한국어를 잘하고 싶어요?	han-gu-go-rưl chal-ha-gô xi-pho-yô?	Bạn muốn giỏi tiếng Hàn không?	https://luandai123.github.io/Korean_Beginner/T12Dlg1.3.mp3
T12	Dlg	1.4	네, 정말 잘하고 싶어요. 그래서 매일 공부해요.	nê, chong-mal chal-ha-gô xi-pho-yô. gư-rê-so mê-il gông-pu-hê-yô.	Vâng, thật sự muốn giỏi. Vì vậy học mỗi ngày.	https://luandai123.github.io/Korean_Beginner/T12Dlg1.4.mp3
T13	Must	1	주말에 뭐 할 거예요?	chu-ma-rê muo hal go-yê-yô?	Cuối tuần bạn sẽ làm gì?	https://luandai123.github.io/Korean_Beginner/T13Must1.mp3
T13	Must	2	한국에 여행을 가려고 해요.	han-gu-gê yo-hê-ưl ga-ryo-gô hê-yô.	Tôi định đi du lịch Hàn Quốc.	https://luandai123.github.io/Korean_Beginner/T13Must2.mp3
T13	Must	3	더 열심히 공부할게요.	to yol-xim-hi gông-pu-hal-gê-yô.	Tôi sẽ học chăm chỉ hơn.	https://luandai123.github.io/Korean_Beginner/T13Must3.mp3
T13	Must	4	언젠가 한국에서 일하고 싶어요.	on-chên-ga han-gu-gê-so il-ha-gô xi-pho-yô.	Một ngày nào đó muốn làm ở Hàn Quốc.	https://luandai123.github.io/Korean_Beginner/T13Must4.mp3
T13	Must	5	내년에 한국에 갈 거예요.	nê-nyo-nê han-gu-gê gal go-yê-yô.	Năm tới tôi sẽ đến Hàn Quốc.	https://luandai123.github.io/Korean_Beginner/T13Must5.mp3
T13	Must	6	이번 주말에 앱을 만들 거예요.	i-pon chu-ma-rê ê-pưl man-tưl go-yê-yô.	Cuối tuần này tôi sẽ làm app.	https://luandai123.github.io/Korean_Beginner/T13Must6.mp3
T13	Story	1	앞으로 저는 한국어를 열심히 공부할 거예요. 내년에 한국에 여행을 가려고 해요. 한국에서 삼겹살도 먹고 싶고, 친구도 만나고 싶어요. 언젠가 한국 회사에서 일할 수 있을 거예요! 더 열심히 할게요!	a-phư-rô cho-nưn han-gu-go-rưl yol-xim-hi gông-pu-hal go-yê-yô. nê-nyo-nê han-gu-gê yo-hê-ưl ga-ryo-gô hê-yô. han-gu-gê-so sam-gyop-ssal-tô mok-kkô xip-kkô, trin-gu-tô man-na-gô xi-pho-yô. on-chên-ga han-guk huê-sa-ê-so il-hal su i-ssưl go-yê-yô! to yol-xim-hi hal-gê-yô!	Trong tương lai tôi sẽ học tiếng Hàn chăm chỉ. Năm tới định đi du lịch Hàn Quốc. Ở Hàn muốn ăn thịt ba chỉ, muốn gặp bạn. Một ngày nào đó sẽ có thể làm ở công ty Hàn! Tôi sẽ cố hơn nữa!	https://luandai123.github.io/Korean_Beginner/T13Story1.mp3
T13	Dlg	1.1	주말에 뭐 할 거예요?	chu-ma-rê muo hal go-yê-yô?	Cuối tuần bạn sẽ làm gì?	https://luandai123.github.io/Korean_Beginner/T13Dlg1.1.mp3
T13	Dlg	1.2	집에서 한국어를 공부할 거예요. 그리고 앱도 만들 거예요.	chi-pê-so han-gu-go-rưl gông-pu-hal go-yê-yô. gư-ri-gô êp-ttô man-tưl go-yê-yô.	Ở nhà học tiếng Hàn. Và cũng sẽ làm app.	https://luandai123.github.io/Korean_Beginner/T13Dlg1.2.mp3
T13	Dlg	1.3	앞으로 계획이 있어요?	a-phư-rô gyê-huê-gi i-sso-yô?	Bạn có kế hoạch tương lai không?	https://luandai123.github.io/Korean_Beginner/T13Dlg1.3.mp3
T13	Dlg	1.4	네, 내년에 한국에 여행을 가려고 해요!	nê, nê-nyo-nê han-gu-gê yo-hê-ưl ga-ryo-gô hê-yô!	Vâng, năm tới tôi định đi du lịch Hàn Quốc!	https://luandai123.github.io/Korean_Beginner/T13Dlg1.4.mp3
